Gene,Value
A1BG,52.959
A1CF,69.185405
A2M,142.21543
A2ML1,22.297504999999997
A4GALT,49.00002
A4GNT,18.52839
AAAS,51.23941
AACS,37.13484
AADAC,5.13304
AADACL2,0.0284
AADAT,3.57146
AAED1,101.76265
AAGAB,24.826126666666667
AAK1,143.19397285714285
AAMDC,25.395086666666668
AAMP,84.11528
AANAT,8.17817
AAR2,67.64539
AARS,149.87849
AARS2,77.99924
AASDH,88.965885
AASDHPPT,125.5573
AASS,2.7764100000000003
AATF,279.9027
AATK,350.72743
ABAT,193.38869666666665
ABCA1,110.50457
ABCA11P,14.67744
ABCA12,32.01411
ABCA13,2.15013
ABCA2,36.33958666666667
ABCA3,2.61598
ABCA4,24.975805
ABCA5,35.7477
ABCA6,0.01482
ABCA7,37.82095
ABCA8,5.567703333333334
ABCA9,14.276153333333333
ABCB1,35.91933
ABCB10,114.86083
ABCB11,11.991815
ABCB4,32.914205
ABCB5,25.1515925
ABCB6,32.857555
ABCB7,113.28388
ABCB8,45.88998
ABCB9,372.9983466666667
ABCC1,83.968055
ABCC10,50.048895
ABCC11,10.93893
ABCC12,5.03805
ABCC13,87.21184
ABCC2,35.38477
ABCC3,106.07676999999998
ABCC4,64.26524
ABCC5,43.37595666666667
ABCC6,22.276466666666668
ABCC8,7.890205
ABCC9,5.332896
ABCD1,46.14079
ABCD2,3.35633
ABCD3,99.75706500000001
ABCD4,31.644585
ABCE1,140.816235
ABCF1,182.8556
ABCF2,44.521304
ABCF3,75.39211
ABCG1,113.3200975
ABCG2,36.4243
ABCG4,40.01592
ABCG5,7.44838
ABCG8,11.29438
ABHD1,30.333746666666666
ABHD10,79.64646
ABHD11,94.54334
ABHD12,49.240473333333334
ABHD12B,23.393605
ABHD13,57.59777
ABHD14A,76.2354
ABHD14B,76.06627
ABHD15,60.56696
ABHD16A,160.86903
ABHD16B,26.25702
ABHD17A,804.95569
ABHD17B,157.90184
ABHD17C,10.95031
ABHD2,280.00388000000004
ABHD3,938.26719
ABHD4,229.947455
ABHD5,160.855275
ABHD6,45.7034925
ABHD8,10.82292
ABI1,358.68788
ABI2,64.94091625
ABI3,76.55927
ABI3BP,16.55572666666667
ABL1,84.00953
ABL2,63.83459666666666
ABLIM1,437.673425
ABLIM2,41.31568
ABLIM3,97.5601
ABO,33.471005
ABR,133.31196500000001
ABRA,1.2201250000000001
ABRACL,663.42856
ABT1,106.49992
ABTB1,381.93838800000003
ABTB2,32.13742
ACAA1,301.51102000000003
ACAA2,73.47876000000001
ACACA,7.742815
ACACB,48.03389000000001
ACAD10,37.041512499999996
ACAD8,63.95755
ACAD9,56.53199
ACADL,5.8375699999999995
ACADM,167.6483
ACADS,59.28865
ACADSB,42.52904
ACADVL,267.47478
ACAN,75.205295
ACAP2,480.11658000000006
ACAP3,72.41214
ACAT1,44.767469999999996
ACAT2,157.59736
ACBD3,164.377695
ACBD4,17.5775
ACBD5,184.179805
ACBD6,63.51069
ACCS,40.89025
ACD,121.88815
ACE,27.74531
ACE2,11.40251
ACER1,125.11946
ACER3,51.43300833333333
ACHE,35.665396666666666
ACIN1,145.27222
ACKR1,35.95558
ACKR2,34.1062
ACKR3,15.422053333333333
ACKR4,6.44069
ACLY,159.01968333333335
ACMSD,12.23865
ACN9,74.30815
ACO1,16.95286
ACO2,78.01261
ACOT1,8.15436
ACOT11,25.0821225
ACOT12,10.91646
ACOT13,74.87367
ACOT4,38.42202
ACOT6,0.03036
ACOT7,23.871209999999998
ACOT8,62.02348
ACOT9,108.48627
ACOX1,183.780138
ACOX2,21.37191
ACOX3,19.46075
ACOXL,31.990385
ACP1,296.82681
ACP2,47.29339
ACP5,57.61378
ACP6,54.85345
ACPP,27.776913333333336
ACPT,100.11268
ACR,71.3431
ACRBP,557.5708466666666
ACRC,40.14247
ACRV1,57.57423166666666
ACSBG1,35.782245
ACSBG2,22.8467
ACSF2,7.52416
ACSF3,21.39658
ACSL1,2690.73036
ACSL3,126.18376333333333
ACSL4,102.11325666666669
ACSL5,110.78023999999999
ACSL6,44.248244
ACSM1,28.247795
ACSM2A,16.2892
ACSM2B,7.60795
ACSM3,6.037215
ACSM5,36.23397
ACSS1,48.05702599999999
ACSS2,79.84202
ACSS3,9.581685
ACTA1,17.97906
ACTA2,47.908469999999994
ACTA2-AS1,20.08755
ACTB,5153.931953333334
ACTC1,105.86272
ACTG2,63.945994999999996
ACTL10,25.82709
ACTL6A,100.25649
ACTL6B,73.19931
ACTL7A,8.76303
ACTL7B,19.48116
ACTL8,219.6478
ACTL9,8.51979
ACTN1,791.1195475
ACTN2,29.657665
ACTN3,40.80117
ACTN4,280.11406
ACTR10,589.20896
ACTR1A,128.40578
ACTR1B,223.24776
ACTR2,975.2055071428571
ACTR3,1886.262528
ACTR3B,46.892070000000004
ACTR3BP2,14.513300000000001
ACTR3C,57.24855
ACTR5,33.63072
ACTR6,88.5532
ACTR8,54.15172
ACTRT2,2.04066
ACTRT3,33.43159
ACVR1,130.90862
ACVR1B,66.73472166666666
ACVR1C,28.627395
ACVR2A,34.38291
ACVR2B,32.35001333333333
ACVRL1,15.74823
ACY1,8.87415
ACY3,31.425325
ACYP1,28.21264
ACYP2,56.09319
ADA,76.18966
ADAD1,46.834685
ADAD2,30.12105
ADAL,12.677966666666668
ADAM10,563.8110733333334
ADAM11,8.520900000000001
ADAM12,28.553012000000003
ADAM15,51.92035
ADAM17,228.70094000000003
ADAM18,268.199635
ADAM19,127.58632
ADAM2,6.19715
ADAM20,10.10287
ADAM21,50.562664999999996
ADAM22,219.42895
ADAM23,17.200635000000002
ADAM28,42.1878675
ADAM29,154.19876
ADAM30,6.621155
ADAM32,10.61193
ADAM33,349.253175
ADAM3A,5.22057
ADAM5,41.421794999999996
ADAM6,26.43127
ADAM7,29.295073333333335
ADAM8,470.50667999999996
ADAM9,45.50341666666666
ADAMDEC1,3.9335
ADAMTS1,1.99706
ADAMTS10,41.120569999999994
ADAMTS12,45.40039
ADAMTS13,50.967569999999995
ADAMTS14,96.99841
ADAMTS15,9.82181
ADAMTS16,10.06759
ADAMTS17,17.5472
ADAMTS18,26.971365
ADAMTS19,11.625784999999999
ADAMTS2,31.868863333333334
ADAMTS20,94.08531
ADAMTS3,7.26136
ADAMTS4,34.44003
ADAMTS5,18.30025
ADAMTS6,16.39961
ADAMTS7,34.25544
ADAMTS8,8.338503333333334
ADAMTS9,20.3699425
ADAMTSL1,18.24739
ADAMTSL2,29.16272
ADAMTSL3,160.64648499999998
ADAMTSL4,33.47828
ADAMTSL5,12.6708
ADAP1,239.043465
ADAP2,59.23205
ADAR,2046.19343
ADARB1,22.434794
ADARB2,85.157365
ADAT1,59.63849
ADAT2,27.31232
ADAT3,202.22223
ADCK1,9.32316
ADCK2,192.09718
ADCK3,140.762415
ADCK4,17.776605
ADCK5,95.89708
ADCY1,24.347266
ADCY10,27.564075000000003
ADCY10P1,23.76371
ADCY2,12.0642
ADCY3,99.385965
ADCY4,254.75711
ADCY5,49.358655
ADCY6,50.57109
ADCY7,404.42287999999996
ADCY8,2.39198
ADCY9,223.93902333333332
ADCYAP1,9.718399999999999
ADCYAP1R1,20.056089999999998
ADD1,495.179645
ADD2,37.12715
ADD3,2080.875825
ADGB,74.07149
ADH1A,23.19553
ADH1B,7.28155
ADH1C,20.11841
ADH4,11.379192499999998
ADH5,261.41147
ADH6,147.320905
ADH7,0.0498
ADHFE1,43.00894
ADI1,224.89893666666669
ADIG,34.485389999999995
ADIPOQ,3.9072
ADIPOR1,4096.42477
ADIPOR2,197.34057
ADIRF,15.60417
ADK,147.758395
ADM,639.33527
ADM2,60.83744
ADNP,388.82644
ADNP2,117.1369
ADO,113.87327
ADORA1,21.767409999999998
ADORA2A,119.13358
ADORA2A-AS1,93.468095
ADORA2B,22.13644
ADORA3,6.240215
ADPGK,169.377455
ADPRH,56.54104666666667
ADPRHL1,526.10484
ADPRHL2,165.49086
ADPRM,107.124435
ADRA1A,34.9641425
ADRA1B,389.16776
ADRA1D,13.950709999999999
ADRA2A,20.45222
ADRA2B,9.60392
ADRA2C,42.1774
ADRB1,9.898029999999999
ADRB2,318.79618
ADRB3,13.471565
ADRBK1,206.80039333333335
ADRBK2,101.81210666666668
ADRM1,254.04348
ADSL,259.65052
ADSS,127.688165
ADSSL1,106.669645
ADTRP,39.85437
AEBP1,65.73264
AEBP2,121.69233
AEN,58.30028
AES,268.21362
AFAP1,19.47464
AFAP1-AS1,17.908795
AFAP1L1,23.671599999999998
AFAP1L2,14.25523
AFF1,257.31342333333333
AFF2,48.69141666666667
AFF3,36.69652166666667
AFF4,110.47021875000002
AFG3L1P,45.63224
AFG3L2,138.50579333333334
AFM,10.41101
AFMID,27.04872
AFP,4.58903
AFTPH,654.337135
AGA,61.06867333333333
AGAP1,77.79440666666666
AGAP2,16.036593333333332
AGAP3,34.01287666666666
AGAP6,23.19268
AGBL1,11.07522
AGBL2,0.00913
AGBL3,8.84374
AGBL4,17.32874
AGBL5,11.974499999999999
AGER,211.63924
AGFG1,175.335194
AGFG2,22.252116666666666
AGGF1,123.7846175
AGK,63.71319
AGL,190.82844
AGMAT,43.73287333333334
AGO1,67.247305
AGO2,274.234795
AGO3,48.2722575
AGO4,224.7405975
AGPAT1,112.34155
AGPAT2,181.39668
AGPAT3,47.86761833333333
AGPAT4,11.588805
AGPAT4-IT1,7.26695
AGPAT5,208.176905
AGPAT6,43.95001666666667
AGPAT9,721.00166
AGPS,38.801297500000004
AGR2,15.809429999999999
AGR3,3.04137
AGRN,37.9242825
AGRP,28.56896
AGT,106.61025
AGTPBP1,288.17029
AGTR1,42.665825
AGTR2,9.47258
AGTRAP,175.83961666666664
AGXT,18.762236666666666
AGXT2,11.88538
AHCTF1,188.1888
AHCY,62.92542
AHCYL1,318.24286
AHCYL2,71.53421
AHDC1,53.252963333333334
AHI1,12.551026
AHNAK,223.59849
AHNAK2,22.093875
AHR,165.75956
AHRR,29.62472
AHSA1,374.05796
AHSA2,98.498745
AHSG,71.093165
AHSP,1396.191
AICDA,18.991509999999998
AIDA,701.83871
AIF1,945.0983200000001
AIF1L,30.40046
AIFM1,31.86086
AIFM2,32.489035
AIFM3,36.26949
AIG1,27.180843333333332
AIM1,572.12473
AIM1L,382.699525
AIM2,150.60738
AIMP1,106.69360666666667
AIMP2,144.55887666666666
AIP,163.73402
AIPL1,38.335809999999995
AIRE,24.57643
AJAP1,104.939405
AJUBA,4.14492
AK1,330.981695
AK2,98.31391
AK3,146.568975
AK4,22.5473625
AK5,29.71152
AK6,196.00037999999998
AK7,22.4473225
AK8,93.761025
AK9,12.566566666666667
AKAP1,41.3703225
AKAP10,85.964845
AKAP11,138.7385
AKAP12,12.046796
AKAP13,303.30760555555554
AKAP14,7.449596666666667
AKAP2,116.0179225
AKAP3,7.17502
AKAP4,28.28228
AKAP5,22.31529
AKAP6,8.190195
AKAP7,82.49879
AKAP8,66.078835
AKAP8L,85.913612
AKAP9,44.26112666666668
AKIP1,254.41943666666666
